Name,RG
az6D79ldbp1_dataDisk,mysqlacademic_rg
az6D79ldbp1_osDisk,mysqlacademic_rg
az6F6Dlappp1_dataDisk,omega_rg
az6F6Dlappp1_osDisk,omega_rg
az6F72ldbp1_osDisk,oracleacademic_rg
